"Country_Name","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020"
"Afghanistan","223.737","235.731","267.177","277.498","334.621","362.857","386.368","440.336","457.654","463.52","472.981","487.097","506.495","531.706","563.694","597.559"
"Afghanistan","11.83","5.361","13.34","3.863","20.585","8.438","6.479","13.968","3.933","1.282","2.041","2.984","3.982","4.977","6.016","6.008"
"Afghanistan","304.926","345.817","427.495","517.509","607.227","711.759","836.222","1,033.59","1,116.83","1,173.18","1,172.36","1,240.50","1,333.49","1,468.18","1,632.53","1,815.95"
"Afghanistan","6.167","6.925","8.556","10.297","12.066","15.325","17.89","20.296","20.17","20.444","19.681","19.654","20.929","22.215","23.819","25.54"
"Afghanistan","136.288","146.7","160.005","186.491","181.467","196.154","216.432","234.728","244.033","253.103","247.866","254.672","263.278","276.126","289.612","303.895"
"Afghanistan","8,999.55","9,197.00","10,139.83","10,265.45","12,076.60","12,777.66","13,274.74","14,764.22","14,980.49","14,819.12","14,777.44","14,878.19","15,132.36","15,545.59","16,135.52","16,753.83"
"Afghanistan","12,265.32","13,491.99","16,224.19","19,144.18","21,915.08","25,063.88","28,730.76","34,655.74","36,557.35","37,507.61","36,628.26","37,890.53","39,840.14","42,925.45","46,730.36","50,914.11"
"Afghanistan","248.049","270.189","324.705","380.91","435.472","539.667","614.661","680.5","660.221","653.609","614.892","600.318","625.295","649.5","681.805","716.079"
"Afghanistan","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Afghanistan","24.842","26.978","31.39","33.242","40.39","44.333","48.18","55.921","59.068","60.808","62.658","65.295","69.079","74.007","80.164","86.813"
"Afghanistan","999.238","1,052.54","1,191.32","1,229.74","1,457.69","1,561.15","1,655.36","1,875.02","1,933.50","1,944.09","1,957.64","1,994.42","2,063.84","2,163.76","2,294.67","2,433.98"
"Afghanistan","0.037","0.037","0.04","0.04","0.049","0.05","0.051","0.057","0.057","0.056","0.055","0.055","0.055","0.056","0.057","0.058"
"Afghanistan","12.275","12.819","13.619","15.568","15.034","16.055","17.356","18.483","18.907","19.293","18.71","18.998","19.304","19.838","20.365","20.918"
"Afghanistan","37.051","29.492","55.856","30.226","36.67","30.402","26.498","25.337","22.563","21.326","21.212","21.881","24.961","26.061","24.931","23.617"
"Afghanistan","54.568","31.539","92.626","32.94","49.735","37.884","32.556","31.365","30.009","27.449","25.876","24.256","22.654","22.911","21.381","22.601"
"Afghanistan","66.058","70.54","76.663","96.917","90.315","92.283","103.176","109.822","117.933","123.445","121.053","124.386","128.696","135.131","141.887","148.982"
"Afghanistan","10.569","6.785","8.681","26.419","-6.811","2.179","11.804","6.441","7.386","4.674","-1.938","2.754","3.465","5","5","5"
"Afghanistan","69.269","72.237","83.861","99.639","89.839","99.044","108.267","114.628","122.928","124.755","123.216","125.557","131.835","138.427","145.348","152.615"
"Afghanistan","10.562","4.285","16.092","18.814","-9.836","10.246","9.312","5.875","7.241","1.487","-1.234","1.9","5","5","5","5"
"Afghanistan","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Afghanistan","47.485","15.808","21.34","3.656","26.782","22.857","3.246","6.323","-8.904","-2.694","-1.823","5.578","10.414","4.958","5.015","0.498"
"Afghanistan","47.416","15.787","19.486","4.57","26.797","22.894","2.45","0.453","-6.612","-2.863","-0.42","6.213","12.969","6.531","5","-1.002"
"Afghanistan","37.76","10.381","23.136","-10.474","52.148","45.44","-3.004","-5.581","9.343","-18.77","-18.55","5.232","8.494","30.168","23.352","27.074"
"Afghanistan","20.016","-10.393","37.53","24.055","2.181","12.696","-18.594","18.391","20.005","9.494","6.828","16.313","20.263","77.105","40.293","41.9"
"Afghanistan","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Afghanistan","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Afghanistan","24.861","25.631","26.349","27.032","27.708","28.398","29.105","29.825","30.55","31.279","32.007","32.739","33.471","34.203","34.935","35.667"
"Afghanistan","44.926","65.518","81.163","88.162","117.745","154.612","177.821","260.571","271.903","280.187","343.262","371.421","417.428","478.619","548.87","630.684"
